repo_name,time,metric,our_value,paper_value,diff_our_minus_paper,abs_diff
golemfoundation/octant,2024-06,ncloc,23054.0,63204.0,-40150.0,40150.0
tsukumijima/KonomiTV,2024-01,ncloc,11364.0,50918.0,-39554.0,39554.0
PostHog/posthog,2025-05,cognitive_complexity,37452.0,76949.0,-39497.0,39497.0
golemfoundation/octant,2024-05,ncloc,21158.0,60499.0,-39341.0,39341.0
keephq/keep,2024-10,ncloc,53238.0,92497.0,-39259.0,39259.0
getsentry/sentry,2025-01,cognitive_complexity,58419.0,97522.0,-39103.0,39103.0
PostHog/posthog,2025-01,technical_debt,22428.0,61380.0,-38952.0,38952.0
getsentry/sentry,2024-12,cognitive_complexity,58092.0,96630.0,-38538.0,38538.0
LearningCircuit/local-deep-research,2025-07,ncloc,87686.0,126063.0,-38377.0,38377.0
golemfoundation/octant,2024-04,ncloc,19276.0,57578.0,-38302.0,38302.0
getsentry/sentry,2024-11,cognitive_complexity,57799.0,95745.0,-37946.0,37946.0
PostHog/posthog,2024-12,technical_debt,21663.0,59108.0,-37445.0,37445.0
getsentry/sentry,2024-10,cognitive_complexity,57375.0,94803.0,-37428.0,37428.0
getsentry/sentry,2024-09,cognitive_complexity,56768.0,93597.0,-36829.0,36829.0
PostHog/posthog,2024-11,technical_debt,20473.0,56949.0,-36476.0,36476.0
golemfoundation/octant,2024-03,ncloc,17378.0,53797.0,-36419.0,36419.0
PostHog/posthog,2025-03,cognitive_complexity,33663.0,69652.0,-35989.0,35989.0
getsentry/sentry,2024-08,cognitive_complexity,56661.0,92630.0,-35969.0,35969.0
golemfoundation/octant,2024-02,ncloc,16382.0,51498.0,-35116.0,35116.0
getsentry/sentry,2024-07,cognitive_complexity,56296.0,91258.0,-34962.0,34962.0
tsukumijima/KonomiTV,2025-08,ncloc,16722.0,51014.0,-34292.0,34292.0
PostHog/posthog,2025-02,cognitive_complexity,31671.0,65955.0,-34284.0,34284.0
tsukumijima/KonomiTV,2025-06,ncloc,16444.0,50537.0,-34093.0,34093.0
tsukumijima/KonomiTV,2025-07,ncloc,16444.0,50537.0,-34093.0,34093.0
keephq/keep,2024-09,ncloc,48681.0,82742.0,-34061.0,34061.0
PostHog/posthog,2025-04,cognitive_complexity,35897.0,69756.0,-33859.0,33859.0
PostHog/posthog,2024-10,technical_debt,19831.0,53472.0,-33641.0,33641.0
golemfoundation/octant,2024-01,ncloc,15513.0,49073.0,-33560.0,33560.0
getsentry/sentry,2024-06,cognitive_complexity,55980.0,89523.0,-33543.0,33543.0
sbomify/sbomify,2025-08,ncloc,49418.0,82787.0,-33369.0,33369.0
getsentry/sentry,2024-05,cognitive_complexity,55239.0,88383.0,-33144.0,33144.0
zauberzeug/nicegui,2024-11,code_smells,279.0,33267.0,-32988.0,32988.0
zauberzeug/nicegui,2024-08,code_smells,266.0,33253.0,-32987.0,32987.0
zauberzeug/nicegui,2024-10,code_smells,273.0,33259.0,-32986.0,32986.0
zauberzeug/nicegui,2024-12,code_smells,281.0,33267.0,-32986.0,32986.0
zauberzeug/nicegui,2024-09,code_smells,273.0,33258.0,-32985.0,32985.0
zauberzeug/nicegui,2025-03,code_smells,286.0,33270.0,-32984.0,32984.0
zauberzeug/nicegui,2025-04,code_smells,288.0,33270.0,-32982.0,32982.0
zauberzeug/nicegui,2025-01,code_smells,288.0,33269.0,-32981.0,32981.0
zauberzeug/nicegui,2025-02,code_smells,289.0,33269.0,-32980.0,32980.0
PostHog/posthog,2024-09,technical_debt,19496.0,52474.0,-32978.0,32978.0
getsentry/sentry,2024-04,cognitive_complexity,54458.0,87065.0,-32607.0,32607.0
PostHog/posthog,2024-08,technical_debt,18161.0,50130.0,-31969.0,31969.0
OpenSPP/openspp-modules,2024-09,ncloc,30938.0,62899.0,-31961.0,31961.0
PostHog/posthog,2024-06,technical_debt,15775.0,47704.0,-31929.0,31929.0
OpenSPP/openspp-modules,2024-08,ncloc,30897.0,62791.0,-31894.0,31894.0
sbomify/sbomify,2025-07,ncloc,47580.0,79232.0,-31652.0,31652.0
getsentry/sentry,2024-03,cognitive_complexity,53258.0,84635.0,-31377.0,31377.0
tsukumijima/KonomiTV,2025-04,ncloc,16312.0,47574.0,-31262.0,31262.0
tsukumijima/KonomiTV,2025-05,ncloc,16318.0,47580.0,-31262.0,31262.0
tsukumijima/KonomiTV,2025-03,ncloc,15779.0,47015.0,-31236.0,31236.0
PostHog/posthog,2024-07,technical_debt,16899.0,47888.0,-30989.0,30989.0
OpenSPP/openspp-modules,2024-07,ncloc,29756.0,60627.0,-30871.0,30871.0
PostHog/posthog,2024-05,technical_debt,14906.0,45693.0,-30787.0,30787.0
tsukumijima/KonomiTV,2025-02,ncloc,15514.0,46290.0,-30776.0,30776.0
PostHog/posthog,2025-01,cognitive_complexity,30011.0,60692.0,-30681.0,30681.0
PostHog/posthog,2024-04,technical_debt,13738.0,44242.0,-30504.0,30504.0
airweave-ai/airweave,2025-08,ncloc,57426.0,87822.0,-30396.0,30396.0
PostHog/posthog,2024-03,technical_debt,13522.0,43584.0,-30062.0,30062.0
OpenSPP/openspp-modules,2024-06,ncloc,29099.0,59050.0,-29951.0,29951.0
getsentry/sentry,2024-02,cognitive_complexity,53558.0,83474.0,-29916.0,29916.0
PostHog/posthog,2024-02,technical_debt,12974.0,42798.0,-29824.0,29824.0
KroMiose/nekro-agent,2025-08,ncloc,22522.0,52194.0,-29672.0,29672.0
KroMiose/nekro-agent,2025-07,ncloc,22189.0,51529.0,-29340.0,29340.0
KroMiose/nekro-agent,2025-06,ncloc,18931.0,47994.0,-29063.0,29063.0
getsentry/sentry,2024-01,cognitive_complexity,52461.0,81360.0,-28899.0,28899.0
PostHog/posthog,2024-12,cognitive_complexity,29288.0,57995.0,-28707.0,28707.0
PostHog/posthog,2024-01,technical_debt,12148.0,40854.0,-28706.0,28706.0
OpenSPP/openspp-modules,2024-03,ncloc,26289.0,54944.0,-28655.0,28655.0
terryyin/lizard,2024-04,ncloc,9983.0,37984.0,-28001.0,28001.0
terryyin/lizard,2024-08,ncloc,9997.0,37998.0,-28001.0,28001.0
terryyin/lizard,2024-10,ncloc,10051.0,38052.0,-28001.0,28001.0
