dataset_source,repo_name,time,commits_scanned,commits_with_python_changes,commits_with_function_change_events,function_change_events,added_function_events,modified_function_events,unique_changed_functions,unique_changed_files
treatment,tsukumijima/KonomiTV,2024-01,84,12,11,121,15,106,88,25
treatment,tsukumijima/KonomiTV,2024-02,79,51,47,242,50,192,131,29
treatment,tsukumijima/KonomiTV,2024-03,9,6,6,9,0,9,6,3
treatment,tsukumijima/KonomiTV,2024-04,47,17,14,58,16,42,45,10
treatment,tsukumijima/KonomiTV,2024-05,37,13,10,20,0,20,20,8
treatment,tsukumijima/KonomiTV,2024-06,37,11,8,11,1,10,8,5
treatment,tsukumijima/KonomiTV,2024-07,13,5,4,7,0,7,6,3
treatment,tsukumijima/KonomiTV,2024-08,139,58,51,171,48,123,86,15
treatment,tsukumijima/KonomiTV,2024-09,38,10,8,23,0,23,17,10
treatment,tsukumijima/KonomiTV,2024-10,28,5,4,7,0,7,7,4
treatment,tsukumijima/KonomiTV,2024-11,14,1,0,0,0,0,0,0
treatment,tsukumijima/KonomiTV,2024-12,15,5,3,5,0,5,5,4
treatment,tsukumijima/KonomiTV,2025-01,44,22,21,101,27,74,69,25
treatment,tsukumijima/KonomiTV,2025-02,181,105,100,337,84,253,149,33
treatment,tsukumijima/KonomiTV,2025-03,62,36,36,54,3,51,28,15
treatment,tsukumijima/KonomiTV,2025-04,43,18,17,85,23,62,69,20
treatment,tsukumijima/KonomiTV,2025-05,5,3,3,4,0,4,2,1
treatment,tsukumijima/KonomiTV,2025-06,54,10,9,14,3,11,8,3
treatment,tsukumijima/KonomiTV,2025-07,4,0,0,0,0,0,0,0
treatment,tsukumijima/KonomiTV,2025-08,33,11,10,34,14,20,24,6
treatment,tw-haiven/haiven,2024-04,209,112,106,1364,727,637,741,100
treatment,tw-haiven/haiven,2024-05,204,92,78,385,87,298,216,44
treatment,tw-haiven/haiven,2024-06,31,7,6,13,0,13,13,9
treatment,tw-haiven/haiven,2024-07,33,11,10,23,8,15,20,11
treatment,tw-haiven/haiven,2024-08,165,72,68,743,197,546,382,68
treatment,tw-haiven/haiven,2024-09,101,28,26,211,163,48,186,34
treatment,tw-haiven/haiven,2024-10,120,31,28,204,65,139,110,22
treatment,tw-haiven/haiven,2024-11,106,21,20,95,4,91,49,22
treatment,tw-haiven/haiven,2024-12,84,24,23,53,8,45,37,15
treatment,tw-haiven/haiven,2025-01,29,7,6,9,1,8,9,8
treatment,tw-haiven/haiven,2025-02,76,11,11,51,19,32,35,11
treatment,tw-haiven/haiven,2025-03,122,57,53,478,62,416,133,29
treatment,tw-haiven/haiven,2025-04,42,19,12,120,13,107,83,21
treatment,tw-haiven/haiven,2025-05,53,19,18,68,21,47,42,12
treatment,tw-haiven/haiven,2025-06,13,6,5,42,7,35,25,5
treatment,tw-haiven/haiven,2025-07,30,13,13,275,201,74,241,33
treatment,tw-haiven/haiven,2025-08,16,2,2,2,0,2,2,2
treatment,utensils/mcp-nixos,2025-03,169,119,103,2092,1156,936,1277,121
treatment,utensils/mcp-nixos,2025-04,122,61,52,439,242,197,315,51
treatment,utensils/mcp-nixos,2025-05,16,4,4,487,467,20,482,40
treatment,utensils/mcp-nixos,2025-06,5,0,0,0,0,0,0,0
treatment,utensils/mcp-nixos,2025-08,17,2,2,376,223,153,375,16
treatment,vcs-python/vcspull,2024-01,5,0,0,0,0,0,0,0
treatment,vcs-python/vcspull,2024-02,35,10,4,34,0,34,29,10
treatment,vcs-python/vcspull,2024-03,19,7,3,20,0,20,19,11
treatment,vcs-python/vcspull,2024-04,15,2,0,0,0,0,0,0
treatment,vcs-python/vcspull,2024-05,8,1,1,5,0,5,5,3
treatment,vcs-python/vcspull,2024-06,15,1,0,0,0,0,0,0
treatment,vcs-python/vcspull,2024-07,6,0,0,0,0,0,0,0
treatment,vcs-python/vcspull,2024-08,6,0,0,0,0,0,0,0
treatment,vcs-python/vcspull,2024-09,7,0,0,0,0,0,0,0
treatment,vcs-python/vcspull,2024-10,15,3,2,7,0,7,7,4
treatment,vcs-python/vcspull,2024-11,15,2,1,1,0,1,1,1
treatment,vcs-python/vcspull,2024-12,10,0,0,0,0,0,0,0
treatment,vcs-python/vcspull,2025-01,19,4,2,37,0,37,31,10
treatment,vcs-python/vcspull,2025-02,16,1,0,0,0,0,0,0
treatment,vcs-python/vcspull,2025-03,13,1,1,1,0,1,1,1
treatment,vcs-python/vcspull,2025-04,12,0,0,0,0,0,0,0
treatment,vcs-python/vcspull,2025-05,12,0,0,0,0,0,0,0
treatment,vcs-python/vcspull,2025-06,25,3,1,1,0,1,1,1
treatment,vcs-python/vcspull,2025-07,8,0,0,0,0,0,0,0
treatment,vcs-python/vcspull,2025-08,11,0,0,0,0,0,0,0
treatment,vietanhdev/anylabeling,2024-06,6,1,1,2,0,2,2,2
treatment,vietanhdev/anylabeling,2024-07,1,0,0,0,0,0,0,0
treatment,vietanhdev/anylabeling,2024-08,13,9,5,32,23,9,29,5
treatment,vietanhdev/anylabeling,2024-10,1,1,0,0,0,0,0,0
treatment,vietanhdev/anylabeling,2024-11,4,3,1,1,0,1,1,1
treatment,vietanhdev/anylabeling,2025-03,3,3,3,58,35,23,41,4
treatment,vietanhdev/anylabeling,2025-04,3,3,3,15,0,15,15,4
treatment,vietanhdev/anylabeling,2025-05,10,9,6,28,9,19,23,6
treatment,vietanhdev/anylabeling,2025-07,3,3,2,12,8,4,11,4
treatment,wdm0006/elote,2024-07,7,0,0,0,0,0,0,0
treatment,wdm0006/elote,2025-02,9,7,6,281,122,159,210,19
treatment,wdm0006/elote,2025-03,8,3,2,349,312,37,349,40
treatment,wdm0006/elote,2025-04,4,4,4,274,21,253,199,23
treatment,wdm0006/elote,2025-06,1,1,1,32,15,17,32,11
treatment,wdm0006/git-pandas,2024-07,0,0,0,0,0,0,0,0
treatment,wdm0006/git-pandas,2025-03,3,2,2,201,105,96,186,20
treatment,wdm0006/git-pandas,2025-04,13,10,4,89,24,65,67,5
treatment,wdm0006/git-pandas,2025-05,2,1,1,85,50,35,85,11
treatment,wdm0006/git-pandas,2025-06,9,9,8,250,217,33,246,14
treatment,wdm0006/git-pandas,2025-07,12,11,10,258,84,174,215,25
treatment,wdm0006/pygeohash,2024-06,1,1,0,0,0,0,0,0
treatment,wdm0006/pygeohash,2024-07,0,0,0,0,0,0,0,0
treatment,wdm0006/pygeohash,2024-12,1,0,0,0,0,0,0,0
treatment,wdm0006/pygeohash,2025-02,14,3,2,26,20,6,26,5
treatment,wdm0006/pygeohash,2025-03,15,7,6,155,84,71,106,19
treatment,wdm0006/pygeohash,2025-04,4,3,3,33,9,24,31,9
treatment,wdm0006/pygeohash,2025-05,3,2,2,19,11,8,19,3
treatment,wdm0006/pygeohash,2025-07,2,2,2,7,4,3,7,3
treatment,whiteducksoftware/flock,2025-02,178,124,106,1359,854,505,897,149
treatment,whiteducksoftware/flock,2025-03,38,25,20,454,375,79,396,49
treatment,whiteducksoftware/flock,2025-04,147,96,85,1443,1134,309,893,133
treatment,whiteducksoftware/flock,2025-05,267,169,159,2424,1364,1060,1516,185
treatment,whiteducksoftware/flock,2025-06,6,3,3,22,2,20,16,5
treatment,whiteducksoftware/flock,2025-07,20,12,10,27,15,12,16,3
treatment,whiteducksoftware/flock,2025-08,51,28,27,152,116,36,138,56
treatment,xzq-xu/jvm-mcp-server,2025-03,22,10,10,132,106,26,106,8
treatment,xzq-xu/jvm-mcp-server,2025-05,1,0,0,0,0,0,0,0
treatment,xzq-xu/jvm-mcp-server,2025-06,5,3,3,234,150,84,174,21
treatment,yagami1997/CursorMind,2025-03,31,2,2,143,143,0,143,12
treatment,yagami1997/TradeMind,2025-02,136,19,14,79,42,37,42,4
treatment,yagami1997/TradeMind,2025-03,113,39,39,353,238,115,246,29
treatment,yagami1997/TradeMind,2025-04,2,0,0,0,0,0,0,0
treatment,yagami1997/TradeMind,2025-05,16,4,4,30,19,11,23,5
treatment,yagami1997/TradeMind,2025-06,1,0,0,0,0,0,0,0
treatment,yagami1997/TradeMind,2025-07,1,0,0,0,0,0,0,0
treatment,yeagerai/genlayer-studio,2024-03,4,2,2,42,41,1,41,8
treatment,yeagerai/genlayer-studio,2024-04,47,21,18,301,203,98,206,30
treatment,yeagerai/genlayer-studio,2024-05,39,21,19,209,102,107,144,33
treatment,yeagerai/genlayer-studio,2024-06,20,5,3,46,24,22,26,9
treatment,yeagerai/genlayer-studio,2024-07,34,21,20,456,342,114,190,43
treatment,yeagerai/genlayer-studio,2024-08,38,14,14,140,32,108,80,34
treatment,yeagerai/genlayer-studio,2024-09,44,15,15,442,181,261,292,71
treatment,yeagerai/genlayer-studio,2024-10,14,10,9,140,40,100,116,42
treatment,yeagerai/genlayer-studio,2024-11,22,9,9,238,114,124,210,51
treatment,yeagerai/genlayer-studio,2024-12,33,17,17,321,134,187,200,33
treatment,yeagerai/genlayer-studio,2025-01,12,8,8,123,38,85,104,26
treatment,yeagerai/genlayer-studio,2025-02,23,15,15,309,85,224,171,26
treatment,yeagerai/genlayer-studio,2025-03,9,5,5,14,3,11,13,6
treatment,yeagerai/genlayer-studio,2025-04,31,22,22,180,44,136,119,27
treatment,yeagerai/genlayer-studio,2025-05,19,15,15,168,94,74,151,49
treatment,yeagerai/genlayer-studio,2025-06,15,11,11,225,78,147,208,48
treatment,yeagerai/genlayer-studio,2025-07,17,11,11,283,126,157,236,44
treatment,yeagerai/genlayer-studio,2025-08,11,6,6,121,89,32,118,24
treatment,zauberzeug/nicegui,2024-01,120,99,88,227,68,159,173,75
treatment,zauberzeug/nicegui,2024-02,104,74,64,158,62,96,119,62
treatment,zauberzeug/nicegui,2024-03,52,44,42,166,73,93,156,64
treatment,zauberzeug/nicegui,2024-04,77,59,57,346,93,253,283,141
treatment,zauberzeug/nicegui,2024-05,52,36,34,153,90,63,148,49
treatment,zauberzeug/nicegui,2024-06,31,25,22,71,47,24,69,36
treatment,zauberzeug/nicegui,2024-07,27,18,17,62,26,36,59,29
treatment,zauberzeug/nicegui,2024-08,111,60,54,537,292,245,464,136
treatment,zauberzeug/nicegui,2024-09,55,24,23,145,32,113,141,71
treatment,zauberzeug/nicegui,2024-10,44,20,20,81,17,64,80,54
treatment,zauberzeug/nicegui,2024-11,37,23,20,79,37,42,74,41
treatment,zauberzeug/nicegui,2024-12,34,16,16,70,33,37,68,27
treatment,zauberzeug/nicegui,2025-01,48,24,22,138,57,81,123,63
treatment,zauberzeug/nicegui,2025-02,36,25,23,92,34,58,83,34
treatment,zauberzeug/nicegui,2025-03,54,37,34,110,40,70,106,48
treatment,zauberzeug/nicegui,2025-04,43,31,27,156,53,103,148,65
treatment,zauberzeug/nicegui,2025-05,53,40,37,133,53,80,127,62
treatment,zauberzeug/nicegui,2025-06,21,13,12,82,14,68,82,38
treatment,zauberzeug/nicegui,2025-07,32,23,22,316,246,70,310,66
treatment,zauberzeug/nicegui,2025-08,52,41,36,619,62,557,563,174
treatment,zilliztech/mcp-server-milvus,2025-03,15,6,6,80,48,32,48,2
treatment,zilliztech/mcp-server-milvus,2025-04,1,1,1,1,0,1,1,1
treatment,zilliztech/mcp-server-milvus,2025-05,4,3,3,9,2,7,8,1
treatment,zilliztech/mcp-server-milvus,2025-06,2,2,2,4,1,3,4,1
