dataset_source,repo_name,time,npr_agc_regular_module_function_unique_bodies
treatment,whiteducksoftware/flock,2025-03,11
treatment,whiteducksoftware/flock,2025-04,22
treatment,whiteducksoftware/flock,2025-05,22
treatment,whiteducksoftware/flock,2025-08,2
treatment,xzq-xu/jvm-mcp-server,2025-03,2
treatment,yagami1997/TradeMind,2025-03,10
treatment,yeagerai/genlayer-studio,2024-03,1
treatment,yeagerai/genlayer-studio,2024-04,9
treatment,yeagerai/genlayer-studio,2024-06,1
treatment,yeagerai/genlayer-studio,2024-07,1
treatment,yeagerai/genlayer-studio,2024-09,7
treatment,yeagerai/genlayer-studio,2024-10,1
treatment,yeagerai/genlayer-studio,2024-11,2
treatment,yeagerai/genlayer-studio,2025-01,2
treatment,yeagerai/genlayer-studio,2025-02,6
treatment,yeagerai/genlayer-studio,2025-05,1
treatment,yeagerai/genlayer-studio,2025-07,1
treatment,zauberzeug/nicegui,2024-01,4
treatment,zauberzeug/nicegui,2024-02,4
treatment,zauberzeug/nicegui,2024-04,3
treatment,zauberzeug/nicegui,2025-06,1
treatment,zauberzeug/nicegui,2025-07,1
treatment,zauberzeug/nicegui,2025-08,6
