target_id,variant,source_group,repo_name,time,path_bucket,component_path,type,paper_count,our_count,diff_our_minus_paper,paper_minus_our,abs_diff
2,paper_like,treatment,PostHog/posthog,2025-04,frontend,frontend/src/scenes/pipeline/destinations/Destinations.tsx,CODE_SMELL,0,17,17,-17,17
3,paper_like,treatment,DataDog/integrations-core,2025-01,datadog_checks_base,datadog_checks_base/datadog_checks/base/checks/openmetrics/mixins.py,CODE_SMELL,0,17,17,-17,17
3,paper_like,treatment,DataDog/integrations-core,2025-01,fluxcd,fluxcd/tests/kind/install.yaml,VULNERABILITY,0,17,17,-17,17
3,paper_like,treatment,DataDog/integrations-core,2025-01,process,process/datadog_checks/process/process.py,CODE_SMELL,0,17,17,-17,17
1,paper_like,treatment,zauberzeug/nicegui,2025-04,nicegui,nicegui/elements/lib/mermaid/chunks/mermaid.esm.min/chunk-6IZS222M.mjs,CODE_SMELL,0,16,16,-16,16
2,paper_like,treatment,PostHog/posthog,2025-04,common,common/esbuilder/utils.mjs,CODE_SMELL,0,16,16,-16,16
2,paper_like,treatment,PostHog/posthog,2025-04,common,common/hogvm/typescript/src/stl/print.ts,CODE_SMELL,0,16,16,-16,16
2,paper_like,treatment,PostHog/posthog,2025-04,frontend,frontend/src/queries/nodes/DataTable/DataTableExport.tsx,CODE_SMELL,0,16,16,-16,16
2,paper_like,treatment,PostHog/posthog,2025-04,frontend,frontend/src/queries/schema/schema-general.ts,CODE_SMELL,0,16,16,-16,16
2,paper_like,treatment,PostHog/posthog,2025-04,frontend,frontend/src/scenes/experiments/ExperimentCodeSnippets.tsx,CODE_SMELL,0,16,16,-16,16
2,paper_like,treatment,PostHog/posthog,2025-04,frontend,frontend/src/scenes/experiments/ExperimentView/SummaryTable.tsx,CODE_SMELL,0,16,16,-16,16
2,paper_like,treatment,PostHog/posthog,2025-04,frontend,frontend/src/toolbar/stats/currentPageLogic.ts,CODE_SMELL,0,16,16,-16,16
2,paper_like,treatment,PostHog/posthog,2025-04,plugin-server,plugin-server/src/cdp/legacy-plugins/_transformations/posthog-route-censor-plugin/dist.js,CODE_SMELL,0,16,16,-16,16
3,paper_like,treatment,DataDog/integrations-core,2025-01,argocd,argocd/tests/kind/argocd_install.yaml,VULNERABILITY,0,16,16,-16,16
3,paper_like,treatment,DataDog/integrations-core,2025-01,disk,disk/datadog_checks/disk/disk.py,CODE_SMELL,0,16,16,-16,16
3,paper_like,treatment,DataDog/integrations-core,2025-01,rabbitmq,rabbitmq/datadog_checks/rabbitmq/const.py,CODE_SMELL,0,16,16,-16,16
3,paper_like,treatment,DataDog/integrations-core,2025-01,tokumx,tokumx/datadog_checks/tokumx/vendor/bson/json_util.py,CODE_SMELL,0,16,16,-16,16
