control_repo,matched_treatment_count_all,matched_treatment_count_candidates,candidate_treatment_month_slots,candidate_python_eligible_slots,control_clone_found,pair_statuses,monthly_history_rows,monthly_python_rows,monthly_no_python_rows,monthly_unknown_rows,first_month,last_month,control_key,matched_estimable_treatment_count,linked_to_estimable_treatment,panel_row_count,panel_first_month,panel_last_month,python_panel_row_count,python_panel_first_month,python_panel_last_month,model_a_complete_row_count,model_a_complete_first_month,model_a_complete_last_month,model_a_estimable_row_count,model_a_estimable_first_month,model_a_estimable_last_month,panel_no_python_rows,panel_python_rows,panel_unknown_python_rows,control_has_adoption_event,control_event_effective,panel_post_adoption_rows,control_adoption_signal_without_event_rows,panel_post_adoption_python_rows,control_pool_status
Wang-ML-Lab/unified-continual-learning,1,1,12,12,1,aligned,16,14,2,0,2023-10,2025-01,wang-ml-lab/unified-continual-learning,1,1,13,2024-01,2025-01,13,2024-01,2025-01,1,2025-01,2025-01,1,2025-01,2025-01,0,13,0,0,,0,0,0,model_a_estimable_available
YangDi666/UNIK,1,1,16,16,1,aligned,15,15,0,0,2021-07,2022-09,yangdi666/unik,1,1,0,,,0,,,0,,,0,,,0,0,0,0,,0,0,0,no_panel_rows
adelatour11/androidtvbackground,1,1,1,1,1,aligned,17,17,0,0,2024-04,2025-08,adelatour11/androidtvbackground,0,0,17,2024-04,2025-08,17,2024-04,2025-08,17,2024-04,2025-08,0,,,0,17,0,0,,0,0,0,not_linked_to_estimable_treatment
ahmetozlu/color_recognition,1,1,20,20,1,aligned,37,37,0,0,2018-01,2021-01,ahmetozlu/color_recognition,1,1,0,,,0,,,0,,,0,,,0,0,0,0,,0,0,0,no_panel_rows
aio-libs/aiohttp,2,2,14,14,1,aligned,144,144,0,0,2013-10,2025-09,aio-libs/aiohttp,2,1,20,2024-01,2025-08,20,2024-01,2025-08,20,2024-01,2025-08,20,2024-01,2025-08,0,20,0,0,,0,0,0,model_a_estimable_available
aj47/100x-orchestrator,2,2,40,20,1,aligned,4,4,0,0,2024-11,2025-02,aj47/100x-orchestrator,2,1,4,2024-11,2025-02,4,2024-11,2025-02,4,2024-11,2025-02,4,2024-11,2025-02,0,4,0,0,,0,0,0,model_a_estimable_available
ali-bahrainian/RAG_best_practices,6,6,32,31,1,aligned,4,4,0,0,2024-12,2025-03,ali-bahrainian/rag_best_practices,1,1,4,2024-12,2025-03,4,2024-12,2025-03,4,2024-12,2025-03,4,2024-12,2025-03,0,4,0,0,,0,0,0,model_a_estimable_available
anujshah1003/Tensorboard-own-image-data-image-features-embedding-visualization,1,1,19,19,1,aligned,52,52,0,0,2017-04,2021-07,anujshah1003/tensorboard-own-image-data-image-features-embedding-visualization,1,1,0,,,0,,,0,,,0,,,0,0,0,0,,0,0,0,no_panel_rows
autti/abraham,1,1,19,19,1,aligned,3,3,0,0,2017-03,2017-05,autti/abraham,1,1,0,,,0,,,0,,,0,,,0,0,0,0,,0,0,0,no_panel_rows
aws-samples/aws-dms-cdc-data-pipeline,1,1,20,20,1,aligned,35,35,0,0,2022-03,2025-01,aws-samples/aws-dms-cdc-data-pipeline,1,1,13,2024-01,2025-01,13,2024-01,2025-01,13,2024-01,2025-01,13,2024-01,2025-01,0,13,0,0,,0,0,0,model_a_estimable_available
aws/nova-act,20,18,69,67,1,aligned,6,6,0,0,2025-03,2025-08,aws/nova-act,2,1,6,2025-03,2025-08,6,2025-03,2025-08,6,2025-03,2025-08,6,2025-03,2025-08,0,6,0,0,,0,0,0,model_a_estimable_available
baaivision/EVE,1,1,20,15,1,aligned,14,14,0,0,2024-06,2025-07,baaivision/eve,1,1,14,2024-06,2025-07,14,2024-06,2025-07,14,2024-06,2025-07,14,2024-06,2025-07,0,14,0,0,,0,0,0,model_a_estimable_available
bannsec/stegoVeritas,1,1,20,20,1,aligned,96,96,0,0,2015-08,2023-07,bannsec/stegoveritas,1,1,0,,,0,,,0,,,0,,,0,0,0,0,,0,0,0,no_panel_rows
believethehype/nostrdvm,1,1,20,20,1,aligned,22,22,0,0,2023-11,2025-08,believethehype/nostrdvm,1,1,20,2024-01,2025-08,20,2024-01,2025-08,20,2024-01,2025-08,20,2024-01,2025-08,0,20,0,0,,0,0,0,model_a_estimable_available
bobokun/actualtap-py,1,1,8,8,1,aligned,14,14,0,0,2024-07,2025-08,bobokun/actualtap-py,1,1,14,2024-07,2025-08,14,2024-07,2025-08,14,2024-07,2025-08,14,2024-07,2025-08,0,14,0,0,,0,0,0,model_a_estimable_available
bropines/chrome-lens-py,2,2,15,15,1,aligned,14,14,0,0,2024-08,2025-09,bropines/chrome-lens-py,2,1,13,2024-08,2025-08,13,2024-08,2025-08,13,2024-08,2025-08,13,2024-08,2025-08,0,13,0,0,,0,0,0,model_a_estimable_available
caffeinedoom/reconthing,1,1,10,10,1,aligned,1,1,0,0,2024-11,2024-11,caffeinedoom/reconthing,1,1,1,2024-11,2024-11,1,2024-11,2024-11,1,2024-11,2024-11,1,2024-11,2024-11,0,1,0,0,,0,0,0,model_a_estimable_available
chenjie/PyTorch-CIFAR-10-autoencoder,1,1,20,20,1,aligned,6,6,0,0,2018-08,2019-01,chenjie/pytorch-cifar-10-autoencoder,1,1,0,,,0,,,0,,,0,,,0,0,0,0,,0,0,0,no_panel_rows
chrisyy2003/nonebot-plugin-gpt3,1,1,19,19,1,aligned,5,5,0,0,2022-12,2023-04,chrisyy2003/nonebot-plugin-gpt3,1,1,0,,,0,,,0,,,0,,,0,0,0,0,,0,0,0,no_panel_rows
cyb3rfortr3ss/ByDeF,20,18,69,67,1,aligned,3,3,0,0,2025-03,2025-05,cyb3rfortr3ss/bydef,2,1,3,2025-03,2025-05,3,2025-03,2025-05,3,2025-03,2025-05,3,2025-03,2025-05,0,3,0,0,,0,0,0,model_a_estimable_available
davidhandsome86/LLM_RAG,1,1,19,18,1,aligned,2,2,0,0,2024-02,2024-03,davidhandsome86/llm_rag,1,1,2,2024-02,2024-03,2,2024-02,2024-03,2,2024-02,2024-03,2,2024-02,2024-03,0,2,0,0,,0,0,0,model_a_estimable_available
daxa-ai/pebblo,4,4,61,61,1,aligned,18,18,0,0,2024-01,2025-06,daxa-ai/pebblo,4,1,18,2024-01,2025-06,18,2024-01,2025-06,18,2024-01,2025-06,18,2024-01,2025-06,0,18,0,0,,0,0,0,model_a_estimable_available
dimatura/pypcd,1,1,19,19,1,aligned,137,137,0,0,2013-03,2024-07,dimatura/pypcd,1,1,7,2024-01,2024-07,7,2024-01,2024-07,2,2024-06,2024-07,2,2024-06,2024-07,0,7,0,0,,0,0,0,model_a_estimable_available
djeada/Kurs-Podstaw-Pythona,1,1,19,19,1,aligned,71,71,0,0,2019-07,2025-05,djeada/kurs-podstaw-pythona,1,1,17,2024-01,2025-05,17,2024-01,2025-05,15,2024-03,2025-05,15,2024-03,2025-05,0,17,0,0,,0,0,0,model_a_estimable_available
dottxt-ai/prompts,1,1,1,1,1,aligned,13,13,0,0,2024-07,2025-07,dottxt-ai/prompts,0,0,13,2024-07,2025-07,13,2024-07,2025-07,13,2024-07,2025-07,0,,,0,13,0,0,,0,0,0,not_linked_to_estimable_treatment
dromara/domain-admin,2,2,16,16,1,aligned,36,36,0,0,2022-09,2025-08,dromara/domain-admin,2,1,20,2024-01,2025-08,20,2024-01,2025-08,20,2024-01,2025-08,20,2024-01,2025-08,0,20,0,0,,0,0,0,model_a_estimable_available
dymmond/edgy,2,2,15,15,1,aligned,29,29,0,0,2023-05,2025-09,dymmond/edgy,2,1,20,2024-01,2025-08,20,2024-01,2025-08,20,2024-01,2025-08,20,2024-01,2025-08,0,20,0,0,,0,0,0,model_a_estimable_available
emresen20/Pau-Bilgisayar-nots,1,1,8,8,1,aligned,10,7,3,0,2024-03,2024-12,emresen20/pau-bilgisayar-nots,1,1,10,2024-03,2024-12,7,2024-06,2024-12,7,2024-06,2024-12,7,2024-06,2024-12,3,7,0,0,,0,0,0,model_a_estimable_available
ergrelet/unlicense,1,1,19,19,1,aligned,25,25,0,0,2021-08,2023-08,ergrelet/unlicense,1,1,0,,,0,,,0,,,0,,,0,0,0,0,,0,0,0,no_panel_rows
evermoving/SystemCaptioner,1,1,17,11,1,aligned,11,11,0,0,2024-10,2025-08,evermoving/systemcaptioner,1,1,11,2024-10,2025-08,11,2024-10,2025-08,11,2024-10,2025-08,11,2024-10,2025-08,0,11,0,0,,0,0,0,model_a_estimable_available
golemfoundation/octant,2,2,40,40,1,aligned,36,33,3,0,2022-09,2025-08,golemfoundation/octant,2,1,20,2024-01,2025-08,20,2024-01,2025-08,20,2024-01,2025-08,20,2024-01,2025-08,0,20,0,0,,0,0,0,model_a_estimable_available
